生命周期,商品,单位,数量,计量单位,报价金额,占总金额,成本金额,占总成本,销售毛利,占总毛利,毛利率,成本利润率,实际利润,实际利润率,主要供应商
,销售折让,* kateandkimi.com,1,,"-1,224.00",0.00%,,,"-1,224.00",0.00%,100.00%,,"-1,046.15",85.50%,
,销售折让,上海华润万家超市有限公司,1,,-192,0.00%,,,-192,0.00%,100.00%,,-164.1,85.50%,
,销售折让,上海衡毅商贸有限公司,1,,-500,0.00%,,,-500,0.00%,100.00%,,-427.35,85.50%,
,销售折让,武汉宇风商贸发展有限公司,15,,"-10,329.25",0.00%,,,"-10,329.25",-0.10%,100.00%,,"-8,828.42",85.50%,
,销售折让,珠海美味多,9,,"-5,053.72",0.00%,,,"-5,053.72",0.00%,100.00%,,"-4,319.42",85.50%,
,销售折让,上海懿利电子商务有限公司,1,,-500,0.00%,,,-500,0.00%,100.00%,,-427.35,85.50%,
,销售折让,苏州曦睿贸易有限公司,1,,-219.39,0.00%,,,-219.39,0.00%,100.00%,,-187.51,85.50%,
,销售折让,成都鸿源裕商贸有限公司,1,,-361,0.00%,,,-361,0.00%,100.00%,,-308.55,85.50%,
,销售折让,大润发,12,,"-159,483.30",-0.30%,,,"-159,483.30",-1.20%,100.00%,,"-136,310.51",85.50%,
,销售折让,家乐福-上海曲阳店,2,,-932.44,0.00%,,,-932.44,0.00%,100.00%,,-796.96,85.50%,
,销售折让,家乐福-上海武宁店,3,,"-1,634.48",0.00%,,,"-1,634.48",0.00%,100.00%,,"-1,396.99",85.50%,
,销售折让,家乐福-上海金桥店,2,,"-4,598.53",0.00%,,,"-4,598.53",0.00%,100.00%,,"-3,930.37",85.50%,
,销售折让,家乐福-上海古北店,2,,"-8,807.71",0.00%,,,"-8,807.71",-0.10%,100.00%,,"-7,527.96",85.50%,
,销售折让,家乐福-上海南方店,2,,"-1,570.35",0.00%,,,"-1,570.35",0.00%,100.00%,,"-1,342.18",85.50%,
,销售折让,家乐福-上海共江店,2,,-763.29,0.00%,,,-763.29,0.00%,100.00%,,-652.38,85.50%,
,销售折让,家乐福-上海万里店,1,,-579.32,0.00%,,,-579.32,0.00%,100.00%,,-495.15,85.50%,
,销售折让,家乐福-上海联洋店,2,,-971.48,0.00%,,,-971.48,0.00%,100.00%,,-830.32,85.50%,
,销售折让,家乐福-上海七宝店,1,,-657.23,0.00%,,,-657.23,0.00%,100.00%,,-561.74,85.50%,
,销售折让,家乐福-上海中山公园店,2,,"-1,559.55",0.00%,,,"-1,559.55",0.00%,100.00%,,"-1,332.95",85.50%,
,销售折让,家乐福-上海新里程店,1,,-660.16,0.00%,,,-660.16,0.00%,100.00%,,-564.24,85.50%,
,销售折让,家乐福-上海川沙店,1,,-658.71,0.00%,,,-658.71,0.00%,100.00%,,-563,85.50%,
,销售折让,家乐福-上海南翔店,1,,-577.18,0.00%,,,-577.18,0.00%,100.00%,,-493.32,85.50%,
,销售折让,家乐福-上海徐汇店,2,,"-2,410.96",0.00%,,,"-2,410.96",0.00%,100.00%,,"-2,060.65",85.50%,
,销售折让,家乐福-上海莘庄店,2,,"-1,392.07",0.00%,,,"-1,392.07",0.00%,100.00%,,"-1,189.80",85.50%,
,销售折让,家乐福-上海巨峰店,1,,-621.18,0.00%,,,-621.18,0.00%,100.00%,,-530.92,85.50%,
,销售折让,家乐福-上海张江店,1,,-735.46,0.00%,,,-735.46,0.00%,100.00%,,-628.6,85.50%,
,销售折让,家乐福-上海徐泾店,3,,"-5,456.32",0.00%,,,"-5,456.32",0.00%,100.00%,,"-4,663.52",85.50%,
,销售折让,家乐福-上海虹口店,2,,"-1,553.28",0.00%,,,"-1,553.28",0.00%,100.00%,,"-1,327.59",85.50%,
,销售折让,家乐福-上海大场店,2,,-572.83,0.00%,,,-572.83,0.00%,100.00%,,-489.6,85.50%,
,销售折让,家乐福-上海万达店,1,,-491.43,0.00%,,,-491.43,0.00%,100.00%,,-420.03,85.50%,
,销售折让,家乐福-上海新南店,1,,-692.51,0.00%,,,-692.51,0.00%,100.00%,,-591.89,85.50%,
,销售折让,家乐福-上海柳州路店,2,,"-1,832.58",0.00%,,,"-1,832.58",0.00%,100.00%,,"-1,566.31",85.50%,
,销售折让,家乐福-上海曹路店,2,,"-1,973.29",0.00%,,,"-1,973.29",0.00%,100.00%,,"-1,686.57",85.50%,
,销售折让,家乐福-上海浦江店,1,,-713.66,0.00%,,,-713.66,0.00%,100.00%,,-609.97,85.50%,
,销售折让,家乐福-上海青浦店,1,,-426.71,0.00%,,,-426.71,0.00%,100.00%,,-364.71,85.50%,
,销售折让,家乐福-上海漕盈店,2,,-851.02,0.00%,,,-851.02,0.00%,100.00%,,-727.37,85.50%,
,销售折让,家乐福-上海松江店,1,,-775.95,0.00%,,,-775.95,0.00%,100.00%,,-663.21,85.50%,
,销售折让,家乐福-上海真北店,2,,-522.27,0.00%,,,-522.27,0.00%,100.00%,,-446.38,85.50%,
,销售折让,家乐福-上海宜山店,2,,"-2,365.88",0.00%,,,"-2,365.88",0.00%,100.00%,,"-2,022.12",85.50%,
,销售折让,家乐福-杭州涌金店,2,,"-1,729.02",0.00%,,,"-1,729.02",0.00%,100.00%,,"-1,477.79",85.50%,
,销售折让,家乐福-南京大桥店,1,,-841.12,0.00%,,,-841.12,0.00%,100.00%,,-718.91,85.50%,
,销售折让,家乐福-南京大行宫店,1,,-832.43,0.00%,,,-832.43,0.00%,100.00%,,-711.48,85.50%,
,销售折让,家乐福-南京长虹店,1,,-729.92,0.00%,,,-729.92,0.00%,100.00%,,-623.86,85.50%,
,销售折让,家乐福-南京河西店,3,,"-1,780.55",0.00%,,,"-1,780.55",0.00%,100.00%,,"-1,521.84",85.50%,
,销售折让,家乐福-南京大华店,1,,"-1,025.17",0.00%,,,"-1,025.17",0.00%,100.00%,,-876.21,85.50%,
,销售折让,家乐福-宁波江东店,2,,"-1,388.19",0.00%,,,"-1,388.19",0.00%,100.00%,,"-1,186.49",85.50%,
,销售折让,家乐福-宁波北仑店,2,,"-1,011.24",0.00%,,,"-1,011.24",0.00%,100.00%,,-864.31,85.50%,
,销售折让,家乐福-便利店上海黄金城道店,1,,-144.05,0.00%,,,-144.05,0.00%,100.00%,,-123.12,85.50%,
,销售折让,家乐福-苏州体育中心店,2,,"-1,454.94",0.00%,,,"-1,454.94",0.00%,100.00%,,"-1,243.54",85.50%,
,销售折让,家乐福-苏州东环店,1,,-498.63,0.00%,,,-498.63,0.00%,100.00%,,-426.18,85.50%,
,销售折让,家乐福-苏州中翔店,2,,-482.25,0.00%,,,-482.25,0.00%,100.00%,,-412.18,85.50%,
,销售折让,家乐福-苏州人民路店,2,,"-1,077.62",0.00%,,,"-1,077.62",0.00%,100.00%,,-921.04,85.50%,
,销售折让,家乐福-苏州友新店,2,,"-1,337.26",0.00%,,,"-1,337.26",0.00%,100.00%,,"-1,142.96",85.50%,
,销售折让,家乐福-苏州建湖店,2,,-496.59,0.00%,,,-496.59,0.00%,100.00%,,-424.44,85.50%,
,销售折让,家乐福-无锡永乐店,1,,"-1,376.83",0.00%,,,"-1,376.83",0.00%,100.00%,,"-1,176.78",85.50%,
,销售折让,家乐福-无锡凤翔店,1,,-691.21,0.00%,,,-691.21,0.00%,100.00%,,-590.78,85.50%,
,销售折让,家乐福-无锡奥林花园店,1,,-774.76,0.00%,,,-774.76,0.00%,100.00%,,-662.19,85.50%,
,销售折让,家乐福-无锡宝龙店,1,,-606.08,0.00%,,,-606.08,0.00%,100.00%,,-518.02,85.50%,
,销售折让,家乐福-无锡哥伦布店,1,,-684,0.00%,,,-684,0.00%,100.00%,,-584.62,85.50%,
,销售折让,家乐福-无锡阳光店,1,,-517.84,0.00%,,,-517.84,0.00%,100.00%,,-442.6,85.50%,
,销售折让,家乐福-徐州金帝店,1,,-306.69,0.00%,,,-306.69,0.00%,100.00%,,-262.13,85.50%,
,销售折让,家乐福-昆明龙泉店,1,,"-1,342.04",0.00%,,,"-1,342.04",0.00%,100.00%,,"-1,147.04",85.50%,
,销售折让,家乐福-昆明世纪城店,1,,"-1,185.87",0.00%,,,"-1,185.87",0.00%,100.00%,,"-1,013.56",85.50%,
,销售折让,家乐福-昆明南亚店,2,,"-3,194.46",0.00%,,,"-3,194.46",0.00%,100.00%,,"-2,730.31",85.50%,
,销售折让,家乐福-昆明正大店,1,,-623.53,0.00%,,,-623.53,0.00%,100.00%,,-532.93,85.50%,
,销售折让,家乐福-昆明安宁店,2,,"-1,403.63",0.00%,,,"-1,403.63",0.00%,100.00%,,"-1,199.68",85.50%,
,销售折让,家乐福-昆明东华店,1,,-203.48,0.00%,,,-203.48,0.00%,100.00%,,-173.91,85.50%,
,销售折让,家乐福-昆明广福店,1,,"-1,095.71",0.00%,,,"-1,095.71",0.00%,100.00%,,-936.5,85.50%,
,销售折让,家乐福-海口南亚店,2,,"-1,450.40",0.00%,,,"-1,450.40",0.00%,100.00%,,"-1,239.66",85.50%,
,销售折让,家乐福-海口金龙店,1,,"-2,357.95",0.00%,,,"-2,357.95",0.00%,100.00%,,"-2,015.34",85.50%,
,销售折让,家乐福-海口红城湖店,1,,-736.16,0.00%,,,-736.16,0.00%,100.00%,,-629.2,85.50%,
,销售折让,家乐福-东莞中心广场店,2,,-714.59,0.00%,,,-714.59,0.00%,100.00%,,-610.76,85.50%,
,销售折让,家乐福-东莞鸿福店,1,,-149.82,0.00%,,,-149.82,0.00%,100.00%,,-128.05,85.50%,
,销售折让,家乐福-东莞宏伟店,2,,-893.26,0.00%,,,-893.26,0.00%,100.00%,,-763.47,85.50%,
,销售折让,家乐福-广州万国店,1,,-46.87,0.00%,,,-46.87,0.00%,100.00%,,-40.06,85.50%,
,销售折让,家乐福-广州康王店,2,,-569.52,0.00%,,,-569.52,0.00%,100.00%,,-486.77,85.50%,
,销售折让,家乐福-广州员村店,2,,-718.32,0.00%,,,-718.32,0.00%,100.00%,,-613.95,85.50%,
,销售折让,家乐福-四会海伦城市广场店,1,,-405.07,0.00%,,,-405.07,0.00%,100.00%,,-346.21,85.50%,
,销售折让,家乐福-深圳南头店,2,,-421.28,0.00%,,,-421.28,0.00%,100.00%,,-360.07,85.50%,
,销售折让,家乐福-深圳梅林店,2,,"-1,356.71",0.00%,,,"-1,356.71",0.00%,100.00%,,"-1,159.58",85.50%,
,销售折让,家乐福-深圳新洲店,1,,-368.57,0.00%,,,-368.57,0.00%,100.00%,,-315.02,85.50%,
,销售折让,家乐福-深圳鸿宝店,3,,-637.63,0.00%,,,-637.63,0.00%,100.00%,,-544.98,85.50%,
,销售折让,家乐福-深圳香缤店,1,,-252.74,0.00%,,,-252.74,0.00%,100.00%,,-216.02,85.50%,
,销售折让,家乐福-深圳西乡店,1,,-178.54,0.00%,,,-178.54,0.00%,100.00%,,-152.6,85.50%,
,销售折让,家乐福-深圳中心城店,1,,-342,0.00%,,,-342,0.00%,100.00%,,-292.31,85.50%,
,销售折让,家乐福-深圳保利店,1,,-318.32,0.00%,,,-318.32,0.00%,100.00%,,-272.07,85.50%,
,销售折让,家乐福-惠阳万联店,1,,-181.63,0.00%,,,-181.63,0.00%,100.00%,,-155.24,85.50%,
,销售折让,家乐福-珠海吉大店,1,,"-1,545.06",0.00%,,,"-1,545.06",0.00%,100.00%,,"-1,320.56",85.50%,
,销售折让,家乐福-厦门明发店,1,,-213.01,0.00%,,,-213.01,0.00%,100.00%,,-182.06,85.50%,
,销售折让,家乐福-厦门中国城店,1,,-869.75,0.00%,,,-869.75,0.00%,100.00%,,-743.38,85.50%,
,销售折让,家乐福-福州宝龙店,2,,-342.03,0.00%,,,-342.03,0.00%,100.00%,,-292.33,85.50%,
,销售折让,家乐福-莆田大唐店,1,,-274.6,0.00%,,,-274.6,0.00%,100.00%,,-234.7,85.50%,
,销售折让,家乐福-成都八宝街店,1,,-430.38,0.00%,,,-430.38,0.00%,100.00%,,-367.85,85.50%,
,销售折让,家乐福-成都大世界店,1,,-891.77,0.00%,,,-891.77,0.00%,100.00%,,-762.2,85.50%,
,销售折让,家乐福-成都双桥子店,1,,-616.5,0.00%,,,-616.5,0.00%,100.00%,,-526.92,85.50%,
,销售折让,家乐福-成都青石桥店,1,,-254.12,0.00%,,,-254.12,0.00%,100.00%,,-217.2,85.50%,
,销售折让,家乐福-成都红牌楼,2,,"-1,027.52",0.00%,,,"-1,027.52",0.00%,100.00%,,-878.22,85.50%,
