Hong Kong,香港特别行政区
Macau,澳门特别行政区
Beijing,北京市
Chongqing,重庆市
Shanghai,上海市
Tianjin,天津市
Anqing,安庆市
Bengbu,蚌埠市
Bozhou,亳州市
Chaohu,巢湖市
Chizhou,池州市
Chuzhou,滁州市
Fuyang,阜阳市
Hefei,合肥市
Huaibei,淮北市
Huainan,淮南市
Huangshan,黄山市
Jieshou,界首市
Lu'an,六安市
Ma'anshan,马鞍山市
Mingguang,明光市
Ningguo,宁国市
Suzhou,宿州市
Tianchang,天长市
Tongcheng,桐城市
Tongling,铜陵市
Wuhu,芜湖市
Xuancheng,宣城市
Fu'an,福安市
Fuding,福鼎市
Fuqing,福清市
Fuzhou,福州市
Jian'ou,建瓯市
Jinjiang,晋江市
Longhai,龙海市
Longyan,龙岩市
Nan'an,南安市
Nanping,南平市
Ningde,宁德市
Putian,莆田市
Quanzhou,泉州市
Sanming,三明市
Shaowu,邵武市
Shishi,石狮市
Wuyishan,武夷山市
Xiamen,厦门市
Yong'an,永安市
Zhangping,漳平市
Zhangzhou,漳州市
Baiyin,白银市
Dingxi,定西市
Dunhuang,敦煌市
Hezuo,合作市
Jiayuguan,嘉峪关市
Jinchang,金昌市
Jiuquan,酒泉市
Lanzhou,兰州市
Linxia,临夏市
Longnan,陇南市
Pingliang,平凉市
Qingyang,庆阳市
Tianshui,天水市
Wuwei,武威市
Yumen,玉门市
Zhangye,张掖市
Chaozhou,潮州市
Dongguan,东莞市
Enping,恩平市
Foshan,佛山市
Gaozhou,高州市
Guangzhou,广州市
Heshan,鹤山市
Heyuan,河源市
Huazhou,化州市
Huizhou,惠州市
Jiangmen,江门市
Jieyang,揭阳市
Kaiping,开平市
Lechang,乐昌市
Leizhou,雷州市
Lianjiang,廉江市
Lianzhou,连州市
Lufeng,陆丰市
Luoding,罗定市
Maoming,茂名市
Meizhou,梅州市
Nanxiong,南雄市
Puning,普宁市
Qingyuan,清远市
Shantou,汕头市
Shanwei,汕尾市
Shaoguan,韶关市
Shenzhen,深圳市
Sihui,四会市
Taishan,台山市
Wuchuan,吴川市
Xingning,兴宁市
Xinyi,信宜市
Yangchun,阳春市
Yangjiang,阳江市
Yingde,英德市
Yunfu,云浮市
Zhanjiang,湛江市
Zhaoqing,肇庆市
Zhongshan,中山市
Zhuhai,珠海市
Baise,百色市
Beihai,北海市
Beiliu,北流市
Cenxi,岑溪市
Chongzuo,崇左市
Dongxing,东兴市
Fangchenggang,防城港市
Guigang,贵港市
Guilin,桂林市
Guiping,桂平市
Hechi,河池市
Heshan,合山市
Hezhou,贺州市
Jingxi,靖西市
Laibin,来宾市
Liuzhou,柳州市
Nanning,南宁市
Pingxiang,凭祥市
Qinzhou,钦州市
Wuzhou,梧州市
Yulin,玉林市
Anshun,安顺市
Bijie,毕节市
Chishui,赤水市
Duyun,都匀市
Fuquan,福泉市
Guiyang,贵阳市
Kaili,凯里市
Liupanshui,六盘水市
Panzhou,盘州市
Qingzhen,清镇市
Renhuai,仁怀市
Tongren,铜仁市
Xingyi,兴义市
Zunyi,遵义市
Danzhou,儋州市
Dongfang,东方市
Haikou,海口市
Qionghai,琼海市
Sansha,三沙市
Sanya,三亚市
Wanning,万宁市
Wenchang,文昌市
Wuzhishan,五指山市
Anguo,安国市
Baoding,保定市
Bazhou,霸州市
Botou,泊头市
Cangzhou,沧州市
Chengde,承德市
Dingzhou,定州市
Gaobeidian,高碑店市
Handan,邯郸市
Hengshui,衡水市
Hejian,河间市
Huanghua,黄骅市
Jinzhou,晋州市
Langfang,廊坊市
Nangong,南宫市
Pingquan,平泉市
Qian'an,迁安市
Qinhuangdao,秦皇岛市
Renqiu,任丘市
Sanhe,三河市
Shahe,沙河市
Shenzhou,深州市
Shijiazhuang,石家庄市
Tangshan,唐山市
Xinji,辛集市
Wu'an,武安市
Xingtai,邢台市
Xinle,新乐市
Zhangjiakou,张家口市
Zhuozhou,涿州市
Zunhua,遵化市
Anda,安达市
Bei'an,北安市
Daqing,大庆市
Dongning,东宁市
Fujin,富锦市
Fuyuan,抚远市
Hailin,海林市
Hailun,海伦市
Harbin,哈尔滨市
Hegang,鹤岗市
Heihe,黑河市
Hulin,虎林市
Jiamusi,佳木斯市
Jixi,鸡西市
Mishan,密山市
Mudanjiang,牡丹江市
Muling,穆棱市
Nehe,讷河市
Ning'an,宁安市
Qiqihar,齐齐哈尔市
Qitaihe,七台河市
